17:37:06.722 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
17:37:19.755 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/bsujvmx3fgqrmbv0fqbh0dgaffcyj9lzhefvwoxi to view build report, insights, and many more debugging information all at one place!

17:43:28.258 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
17:43:28.260 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
17:43:28.492 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
17:43:28.753 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
17:43:28.754 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
17:43:29.131 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
17:43:29.131 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
17:43:34.275 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
17:44:18.624 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/4jpo3irbifrecb2rtauhmiggucxlie0eejasvjur to view build report, insights, and many more debugging information all at one place!

17:44:19.260 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/dd7b83352f481b250948c97ac1e5fc5f125e3e35
17:44:19.261 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
16:18:58.019 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
16:18:58.021 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
16:18:58.242 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
16:18:58.501 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
16:18:58.501 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
16:18:58.904 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
16:18:58.904 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
16:19:03.355 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
16:19:22.426 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/a24fgwdyzkpxry5jyw35qyzt3i6uldrd0uwhtnih to view build report, insights, and many more debugging information all at one place!

16:19:23.249 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/22eb882afb234806cb3a18752adb3971bfd7022a
16:19:23.250 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
16:32:37.166 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
16:32:37.168 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
16:32:37.381 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
16:32:37.640 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
16:32:37.641 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
16:32:38.224 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
16:32:38.225 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
16:32:42.762 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
16:33:41.626 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/qahcvaies15tuqg289314ecipewssqfm5kwz7ebx to view build report, insights, and many more debugging information all at one place!

16:33:42.463 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/3f77f4ecbb5a5191a621cdb4f6ce3273c784c97f
16:33:42.464 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
16:35:01.997 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
16:35:01.999 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
16:35:02.219 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
16:35:02.476 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
16:35:02.476 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
16:35:03.049 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
16:35:03.050 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
16:35:07.714 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
16:36:00.067 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/gtio6ttjcuxqzycnwkdiuy00dmrmbrmgylphftmf to view build report, insights, and many more debugging information all at one place!

16:36:00.628 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/07ac81e52e30ab47470acd55d505bc6da0bc06cb
16:36:00.629 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
16:42:22.403 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
16:42:22.406 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
16:42:22.632 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
16:42:22.890 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
16:42:22.890 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
16:42:23.474 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
16:42:23.475 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
16:42:28.454 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
16:43:18.054 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/4joxgoyahvo43fqvj8o5hsmp0vfyb3qfj1mahtde to view build report, insights, and many more debugging information all at one place!

16:43:18.929 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/8262ddc4ca9736a987cccb74421db64567a97914
16:43:18.932 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
21:02:38.318 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:02:38.320 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:02:38.541 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
21:02:38.824 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:02:38.824 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:02:39.252 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:02:39.253 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:02:45.031 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
